id,surname,forename,birthYear,deathYear,note,pageRefs,fullName
"ansorge_p_21","Aram","Kurt","1869","1934","Dt. Pfarrer, Journalist und Schriftsteller von Unterhaltungsromanen, Mitarbeiter beim Berliner Tageblatt und der Literaturzeitschrift März.","430","Kurt Aram"
"ansorge_p_23","Arnswaldt","Bertha von","1850","1919","Dt. Salonnière, deren vorwiegend literarischer Salon am Nollendorfplatz 7 in Berlin von 1910 bis 1914 als einer der bedeutendsten gesellschaftlichen Treffpunkte in dieser Zeit galt.","","Bertha von Arnswaldt"
"ansorge_p_24","Artôt de Padilla","Lola","1876","1933","Frz.-span. Sängerin (Sopran), Tochter eines Sängerehepaares, war hauptsächlich in Berlin tätig (an der Komischen Oper 1905–1908 und von 1909–1927 am Kgl. Opernhaus).","159; 172","Lola Artôt de Padilla"
"ansorge_p_25","Auerbach-Dehmel","Ida; genannt Isi","1870","1942","Dt. Lyrikerin und Frauenrechtlerin, Jugendfreundin Stefan Georges, zunächst verh. mit Konsul Leopold Auerbach in Berlin, bevor sie 1895 Richard Dehmel kennenlernte, dessen zweite Ehefrau sie wurde.","29; 48; 107; ; ; 253; 259; 261; 264; ; 269; ; 275; 279; ; ; 288; ; ; 297; ; 307; 310; ; 316; ; 321; ; 333; 336; 339; ; 344; 347; ; ; ; ; ; 561; 576; 656; ","Ida; genannt Isi Auerbach-Dehmel"
"ansorge_p_26","Bab","Julius","1880","1955","Dt. Dramatiker, Theaterkritiker und früher Biograph Richard Dehmels, war 1933 Mitbegründer des „Kulturbundes deutscher Juden“.","186","Julius Bab"
"ansorge_p_27","Bach","Eleonore Josepha Maria Theresia Auguste, Baronin von","","","Österr. Konzertsängerin (Sopran) aus dem Umfeld Johannes Brahms’, wohnhaft in Baden, die sich als Mitglied sehr für die Belange des Ansorge-Vereins einsetzte und mehrfach Lieder Ansorges in ihre eigenen Konzertprogramme aufnahm, jedoch niemals selbst im Verein auftrat. Widmungsträgerin zweier Lieder des Komponisten und Liedbegleiters Erich J. Wolff (1874–1913). In den Briefen Hugo Wolfs an Melanie Köchert wird des Öfteren von der Baroness berichtet (21.10.1895). Sie war die Mutter der österr. Pianistin und Komponistin Maria Bach (1896–1978).","401; 570; 578; 582; ; 592; 595; 619","Eleonore Josepha Maria Theresia Auguste, Baronin von Bach"
"ansorge_p_28","Baeker","Ernst","1866","1944","Dt. Bankier und Komponist, befreundet mit →Carl Ludwig Schleich.","604; 606","Ernst Baeker"
"ansorge_p_29","Bahr","Hermann","1863","1934","Österr. Dichter, Essayist und Kritiker, Zentralfigur der deutschsprachigen Moderne der Jahrhundertwende in Berlin und Wien, Hg. der Wiener Zeit, Regisseur bei M. Reinhardt, heiratete 1909 die Hofopernsängerin →Anna Bahr-Mildenburg.","393; 416; 433; 487; ; 496; 498; 626","Hermann Bahr"
"ansorge_p_30","Bahr-Mildenburg","Anna","1872","1947","Österr. Sängerin (Sopran), Schülerin von →Rosa Papier, ab 1895 am Hamburger Stadttheater engagiert, wo sie Gustav Mahler kennenlernte, der sie später auch für die Wiener Hofoper engagierte.","","Anna Bahr-Mildenburg"
"ansorge_p_31","Bake","Otto","1862","1921","Dt. Pianist, gefragter Korrepetitor und Liedbegleiter in Berlin, u. a. von →Julia Culp.","101; 116; 136; 140; 181; 675","Otto Bake"
"ansorge_p_32","Baltzer","Eduard","1814","1887","Dt. Theologe, Politiker und Vegetarier. Verfasser mehrerer Schriften zur Antike, darunter: Empedocles. Eine Studie zur Philosophie der Griechen.","672","Eduard Baltzer"
"ansorge_p_33","Banner","Michael","1868","","US-amerik. Geiger (Biographie in Bainard’s Musical World XXVI (1889), S. 324ff.).","84; 86","Michael Banner"
"ansorge_p_34","Bartfeld","Amalia","","","Böhm.? Geigerin, die 1920 mit Ansorge konzertierte. (Ein Foto mit der Bildunterschrift „Amalie Bartfeld, Violinvirtuosin. 1932“ findet sich auf http://www.e-jirgens.de/fotosba.htm, zuletzt besucht am 19.08.2015.)","188","Amalia Bartfeld"
"ansorge_p_35","Barthlmé","Anton","1867","1943","Böhm. Cellist, Schüler Ferdinand Hellmesbergers, Mitglied des →Duesberg-Quartetts. Von 1914–1932 Lehrer an der Wiener Musikakademie. 565 Batka, Richard (1868–1922). In Prag geborener österr. Musikhistoriker und -kritiker. Begann nach dem Studium bei →Guido Adler in Wien seine journalistische Karriere in der Prager Neuen musikalischen Rundschau und übersiedelte 1908 nach Wien, wo er ab 1909 gemeinsam mit Richard Specht den Merker herausgab.","","Anton Barthlmé"
"ansorge_p_36","Bauer","Julius","1853","1941","Österr. Autor und Redakteur des Wiener Extrablattes.","487; ","Julius Bauer"
"ansorge_p_37","Bauer","Leopold","1872","1938","Österr. Architekt und Kulturtheoretiker, Mitglied der Secession und Mitherausgeber von Ver Sacrum.","","Leopold Bauer"
"ansorge_p_38","Bauer-Pilecka","Olga","1887","1941","Österr. Sängerin (Alt), die von 1917–1928 an der Wiener Hofoper engagiert war.","431; 433","Olga Bauer-Pilecka"
"ansorge_p_39","Baumgartner","Wilhelm","1820","1867","Schweiz. Komponist und Chordirigent, ein Freund Richard Wagners.","114","Wilhelm Baumgartner"
"ansorge_p_40","Baußnern","Waldemar von","1866","1931","Dt. Komponist, ausgebildet in Budapest und Berlin. Seine erste Symphonie (1899) trug den Titel Jugend.","111; 157; 311; 613","Waldemar von Baußnern"
"ansorge_p_41","Bayer","Claudia","1896","","Tschech. Pianistin und Ansorge-Schülerin.","683","Claudia Bayer"
"ansorge_p_42","Becker","Hugo","1864","1941","Dt. Cellist und Komponist, Schüler Friedrich Grützmachers und Lehrer von →Paul Grümmer und Gregor Piatigorsky.","","Hugo Becker"
"ansorge_p_43","Becker","Reinhold","1842","1924","Dt. Geiger, Chordirigent und Komponist, vorwiegend von Liedern und Chormusik, dessen I. Violinkonzert op. 4 aus dem Jahr 1876 sich großer Beliebtheit erfreute. (Reinhold Becker, sein Leben und sein Werk, hg. im Auftrag des Vereins für Geschichte Dresdens. Dresden 1932. Siehe auch: , zuletzt besucht am 22.08.2015.)","72; 124","Reinhold Becker"
"ansorge_p_44","Beckerath","Hermann v.","1909","1964","Dt. Cellist, Professor in München und Mitglied der Münchner Philharmoniker, spielte 1954 in Brasilien mit Ansorges Schwiegertochter Lisa dessen Cellosonate op. 24.","669","Hermann v. Beckerath"
"ansorge_p_45","Beer-Walbrunn","Anton","1864","1929","Dt. Komponist, der zum Studium bei Josef Rheinberger nach München ging und von 1911–1929 Professor an der dortigen Akademie wurde.","","Anton Beer-Walbrunn"
"ansorge_p_46","Behr","Franz","1837","1898","Dt. Komponist von zahlreichen Liedern und Salonstücken für Klavier, die bis auf eines, das in einer Transkription von Sergej Rachmaninoffs Vater Wassily überlebt hat (Lachtäubchen. Scherzpolka), weitgehend vergessen sind.","581","Franz Behr"
"ansorge_p_47","Behr","Hermann","1875","","Dt. Geiger, Chorleiter und Dirigent des Breslauer Orchestervereins. (Hermann Behr. Denkschrift zur Feier des 50-jährigen Bestehens des Breslauer Orchester-Vereins. Breslau 1912, vgl. https://www.gko.uni-leipzig.de/fileadmin/user_upload/musikwissenschaft/pdf_allgemein/arbeitsgemeinschaft/1314_subel.pdf, zuletzt besucht am 22.08.2015.)","155","Hermann Behr"
"ansorge_p_48","Behrens","Peter","1868","1940","Dt. Architekt und Industriedesigner, der maßgeblich an der Stilbildung des deutschen Fin de siècle mitwirkte und ein Freund →Richard Dehmels war.","237; 293; ; ; ; 341; 401; 503","Peter Behrens"
"ansorge_p_49","Beier","Franz","1857","1914","Dt. Chorleiter und Kapellmeister, seit 1885 in Kassel Musikdirektor.","143","Franz Beier"
"ansorge_p_50","Bendel","Franz","1833","1874","In Böhmen geborener österr. Pianist und Komponist, Schüler von Franz Liszt in Weimar und befreundet mit Wendelin Weißheimer, unterrichtete ab 1862 an der Musikakademie in Berlin.","67","Franz Bendel"
"ansorge_p_51","Bendix","Max","1866","1945","US-amerik. Geiger und Dirigent, musizierte unter →Theodore Thomas in zahlreichen großen Orchestern sowie an der Metropolitan Opera.","79; 85","Max Bendix"
"ansorge_p_52","Bendix","Toni","","","Dän.? Sängerin (Alt). 1904 wohnhaft in Berlin, W. Magdeburger Str. 14 II., sie entstammt wahrscheinlich einer dänischen Musikerfamilie, deren bekanntestes Mitglied, der Komponist und Dirigent Victor B. (1851–1926), ihr Onkel sein könnte. Sie gab in der Saison 1907/08 Konzerte in München (Die Musik VII/13 (1. Aprilheft 1908), S. 61) und Kopenhagen (Die Musik VII/16 (2. Maiheft 1908), S. 250).","128; ; 595","Toni Bendix"
"ansorge_p_53","Berg","Marie","1874","","Dt. Sängerin (Sopran) und Pädagogin. Gemeinsam mit Amalie Joachim sang sie beim Merseburger Brahms-Fest 1895 das Duett op. 61/2 von Johannes Brahms, der selbst am Klavier begleitete (vgl. Gustav Adolf Müller (Hg.). Deutschlands, Osterreich-Ungarns und der Schweiz Gelehrte, Künstler und Schriftsteller in Wort und Bild. Hannover: Bruno Volger 1908, S. 40; sowie http://www.brahms-institut.de/ web/bihl_digital/jb_werkekatalog/op_061.html, zuletzt besucht am 29.08.2015).","94; 108","Marie Berg"
"ansorge_p_54","Bergen-Schindler","Anna von","1857","1938","Dt. Sängerin (Soubrette), Ehefrau des Landschaftsmalers Emil Schindler, Mutter von Alma Mahler, heiratete in zweiter Ehe Carl Moll.","520","Anna von Bergen-Schindler"
"ansorge_p_55","Berger","Otakar","1873","1897","Tschech. Cellist, Schüler von →Hanu Wihan am Prager Konservatorium, der nach dem Tod seines Schülers dessen Platz im →Böhmischen Streichquartett einnahm.","","Otakar Berger"
"ansorge_p_56","Berger","Wilhelm Reinhard","1861","1911","Dt.-amerik. Komponist, Pianist und Dirigent.","127; 604","Wilhelm Reinhard Berger"
"ansorge_p_57","Bergmann-Reitz","Elsbeth","","","Dt Sängerin (Dramat. Sopran). Sie war ab 1923 Ensemblemitglied am Weimarer Nationaltheater.","230","Elsbeth Bergmann-Reitz"
"ansorge_p_58","Beringer","Josef August","1862","1937","Dt. Lehrer für Mathematik und Naturwissenschaften in Mannheim, mit Dehmel und Hans Thoma befreundet, studierte Kunst-und Musikgeschichte, Literatur und Philosophie an der Universität Heidelberg, Veröffentlichungen zur Malerei des 19. Jhds. am Oberrhein. Mitglied der Badischen Historischen Kommission und Denkmalpfleger für den Kreis Mannheim. 1933 erhielt er als Anerkennung für seine Leistungen vom Staatsministerium den Professorentitel verliehen. (Vgl. Baden-Württemberg), zuletzt besucht am 19.08.2015)","274; 284","Josef August Beringer"
"ansorge_p_59","Bermann","Gustav","1871","1942","Dt. Sänger, Habitué im Berliner Salon von Bertha von Arnswaldt, in dem auch Conrad Ansorge verkehrte.","51","Gustav Bermann"
"ansorge_p_60","Besl","Karl","","","Dt.? Pianist und Dirigent, Klavierbegleiter Richard Taubers auf dessen Tonaufnahmen.","144","Karl Besl"
"ansorge_p_61","Beständig","Otto","1835","1917","Dt. Organist, Dirigent und Komponist.","66","Otto Beständig"
"ansorge_p_62","Bettendorf","Emmy","","1963","Dt. Sängerin (Sopran), nach Engagements in Frankfurt am Main und Schwerin 1920–1924 an der Staatsoper Berlin, danach an der Städtischen Oper Berlin engagiert.","205","Emmy Bettendorf"
"ansorge_p_63","Bie","Oscar","1864","1938","Dt. Kunst-und Musikhistoriker, promovierte 1886, habilitierte sich 1890 im Fach Kunstgeschichte in Berlin. Einflussreicher Kritiker des Berliner Börsen-Couriers und Herausgeber der Neuen Deutschen Rundschau von 1894–1922. Ab 1901 Professor, lehrte ab 1921 das Fach Ästhetik an der Hochschule der Künste Berlin. Im selben Jahr erschien bereits die dritte Auflage seines Buches „Das Klavier“.","; 32; 417; 434","Oscar Bie"
"ansorge_p_64","Bierbaum","Otto Julius","1865","1910","Dt. Dichter, Redakteur und Librettist, Herausgeber der Freien Bühne, Pan und Die Insel in Berlin, der auch unter dem Pseudonym Martin Möbius der feierlichen Kunst des Fin de siècle gerne einen humoristischen Spiegel vorhielt.","30; 421; 436; ","Otto Julius Bierbaum"
"ansorge_p_65","Bing","Albert","1884","","Dt. Pianist, Dirigent und Komponist; Pfitzner-Schüler und Lehrer von Kurt Weill. Seine Frau Edith (1883–?) war die Schwester des Dramatikers Carl Sternheim (1878–1942).","219","Albert Bing"
"ansorge_p_66","Bischoff","Hermann","1868","1936","Dt. Komponist aus wohlhabender Familie, studierte zunächst in Leipzig, später bei Richard Strauss in München. Er war befreundet mit zahlreichen Größen der Münchner Kultur.","128; 336; 404; 414; 422; 592; 634","Hermann Bischoff"
"ansorge_p_67","Blech","Leo","1871","1958","Dt. Komponist und Dirigent, war mit Unterbrechungen von 1906–1937 Dirigent (zuletzt Generalmusikdirektor) an der Berliner Hof- bzw. Staatsoper.","; 214","Leo Blech"
"ansorge_p_68","Blumenthal","Oscar","1852","1917","Dt. Schriftsteller, Kritiker des Berliner Tageblatts, Literaturwissenschaftler und Bühnenautor, von 1888 bis 1897 Direktor des Lessingtheaters in Berlin.","487","Oscar Blumenthal"
"ansorge_p_69","Böhler","Paul","","","Dt. Zeitungsredakteur in Weimar, der laut →Rudolf Steiner „manch herbe Kritik am Weimarer Geiste ausübte“ und deshalb bald seine Stelle bei der Zeitung verlor (R. Steiner. Mein Lebensgang, S. [310]). Gehörte zum Kreis von →Crompton, →Ansorge und →Steiner.","252","Paul Böhler"
"ansorge_p_70","Böhm","Theobald","1794","1881","Dt. Komponist, Flötist und erfindungsreicher Flötenbaumeister („Böhmflöte“). „Böhmisches Streichquartett“ („České kvarteto“). 1891 am Prager Konservatorium von →Karel Hoffmann (Vl. I), →Josef Suk (Vl. II), →Oskar Nedbal (Vla.) und →Otakar Berger (Vc., ab 1897 übernahm Hanu Wihan dessen Part) gegründetes Quartett, das von 1892–1934 unter diesem Namen aktiv war. Die Mitglieder waren Schüler der Professoren Antonín Bennewitz (Geige) und Hanu Wihan (Cello, Kammermusik) und es widmete sich vorrangig der böhmischen Quartettliteratur (Dvo ák, Smetana, Janá ek).","139","Theobald Böhm"
"ansorge_p_71","Bötticher","Magda","","","Dt. Sängerin, konzertierte zwischen 1882 und 1884 auch gemeinsam mit →Marianne Brandt sowie den Liszt-Schülern →Alexander Ziloti, Dory Burmeister-Petersen (1860–1902) und Martha Remmert (1854–1941).","69; 71","Magda Bötticher"
"ansorge_p_72","Boewig","Henry","","1939","US-amerik. Geiger und Bibliothekar. Bis zu einem unglücklichen Sturz war er zweiter Geiger im Orchester der New York Philharmonic Society und im New York String Quartet. (Vgl. die Homestory im New Yorker vom 13.02.1932: http://archives.newyorker.com/?i=1932-02-13#folio=007, zuletzt besucht am 19.08.2015)","82","Henry Boewig"
"ansorge_p_73","Bohm","Carl","1844","1920","Dt. Komponist, sein Erfolgsstück war das Lied „Still wie die Nacht“.","81","Carl Bohm"
"ansorge_p_74","Bondi","Robert","","","Erster Geiger des Orchesters des Wr. Concert-Vereins (heute: Wr. Symphoniker).","565","Robert Bondi"
"ansorge_p_75","Bos","Coenraad Valentijn","1875","1955","Holländ. Pianist, Schüler von Julius Röntgen in Berlin, bildete gemeinsam mit dem Cellisten →Jaques van Lier und dem Geiger →Josef van Veen von 1900–1907 das „Hollandsche Trio“; besonders erfolgreich war er als Begleiter. So übernahm er bei der Wiener UA der Vier ernsten Gesänge von Johannes Brahms durch Anton Sisterman den Klavierpart.","; 124; 176; 555","Coenraad Valentijn Bos"
"ansorge_p_76","Botstiber","Hugo","1875","1942","Österr. Musikwissenschaftler, studierte bei Robert Fuchs und Guido Adler, Mitglied im Ansorge-Verein, Mitarbeiter in der Gesellschaft der Musikfreunde und von 1912 bis 1938 Generalsekretär der Wiener Konzerthausgesellschaft. Starb in der Emigration.","; 477; 493; 652","Hugo Botstiber"
"ansorge_p_77","Bramsen","Henry","1875","1918","Dän. Cellist, heiratete 1903 die Sängerin →Marta Christine (Guldbransen) Sandal.","136","Henry Bramsen"
"ansorge_p_78","Brand","Michael","1849","","US-amerik.? Cellist und Dirigent.","83","Michael Brand"
"ansorge_p_79","Brandenburg","Arthur","1875","","Dt. Geiger.","188","Arthur Brandenburg"
"ansorge_p_80","Brandt","Marianne","1842","1921","Österr. Sängerin (Alt), die auch als dramatischer Sopran auf der Bühne stand. Sie wirkte von 1868–1886 an der Berliner Hofoper, kehrte 1890 als Pädagogin nach Wien zurück und war Mitglied im Ansorge-Verein. 477, 504, 520f Brandt-Scheuerlein, Hedwig (1843–1927). Dt. Opernsängerin, verh. mit Adolf Brandt (1838–1919), einem Komponisten und Musikdirektor in Magdeburg. 68 (Helmrich-)Bratanitsch, Helene (1869–?). Ung. Sängerin (Alt), sang 1893/94 an der Wiener Hofoper, 1894/95 am Badischen Staatstheater. 106 Braun, Clemens (1862–1933). Dt.? Organist und Komponist, ab 1882 Chorleiter (Akademischer Gesangsverein, Bachverein), ab 1898 Organist an der Annenkirche in Dresden.","123","Marianne Brandt"
"ansorge_p_81","Braun-Fernwald","Jella","1894","1965","Österr. Sängerin (Alt), Schülerin von →Rosa Papier. Ihre Engagements trat sie zunächst in Wuppertal, später an der Wr. Staatsoper und bei den Salzburger Festspielen an, setzte sich besonders im Rundfunk auch für die Werke →Schönbergs und Egon Wellesz’ ein. Sie war in erster Ehe mit dem Dirigenten Hermann Schmeidel, in zweiter Ehe mit →Paul Stefan verh.","","Jella Braun-Fernwald"
"ansorge_p_82","Braus","Dorothea Marcella","1903","","Dt.-brit. Pianistin, Schülerin Ansorges.","683","Dorothea Marcella Braus"
"ansorge_p_83","Brecher","Gustav","1879","1940","Dt. Dirigent, Komponist und Musikkritiker. Engagements an der Leipziger Oper, der Wiener Hofoper unter Mahler (1901–1903), Generalmusikdirektor in Leipzig, dort verantwortlich für die UA von Brecht/Weills Mahagonny und K eneks Jonny. Er wurde 1933 entlassen, floh über Prag und Leningrad und nahm sich schließlich gemeinsam mit seiner Frau 1940 in Belgien das Leben.","120; 128; 311; 336; 411; 414; 422; 424; 491; 592; 603; 619; 629; 631; 633","Gustav Brecher"
"ansorge_p_84","Breithaupt","Rudolf Maria","1873","1945","Dt. Klavierpädagoge, studierte Jura, Philosophie, Kunst- und Musikwissenschaft bei Hugo Riemann und Hermann Kretschmar. Er unterrichtete bis 1929 am Stern’schen Konservatorium in Berlin und war ein glühender Verehrer Ansorges, gemeinsam mit →Paul Stier zählte er zu den Förderern des Komponisten, die 1913 einen Aufruf zur Unterstützung des Künstlers initiiert hatten. Bekannt geworden ist sein Lehrbuch „Die natürliche Klaviertechnik“ (Leipzig 1907).","17; ; 151; 168; 228; ; 591","Rudolf Maria Breithaupt"
"ansorge_p_85","Brendler","Paul Eduard Ferdinand","1850","","Dt. (Hof-)Organist in Dresden.","70","Paul Eduard Ferdinand Brendler"
"ansorge_p_86","Bricht","Balduin","1852","1937","Österr. Journalist und Musikkritiker der Wiener Allgemeinen Zeitung sowie Musikreferent der Österr. Volkszeitung.","519; 544","Balduin Bricht"
"ansorge_p_87","Bricht-Pyllemann","Agnes","1868","1950","Österr. Konzertsängerin (Mezzo) und Pianistin; Schülerin von →Theodor Leschetizky.","469; 495","Agnes Bricht-Pyllemann"
"ansorge_p_88","Broda","Rudolf","","1932","Österr. Soziologe und Pazifist, ein Vordenker des Völkerbundes. Von 1907–1914 war er Professor in Paris, danach in der Schweiz und den USA.","438","Rudolf Broda"
"ansorge_p_89","Brode","Max","1850","1917","Dt. Geiger und Dirigent, Schüler Joseph Joachims, seit 1876 in Königsberg.","121","Max Brode"
"ansorge_p_90","Bronner","Ferdinand Wilhelm","1867","1948","Österr. Schriftsteller und Gymnasiallehrer, verfasste u. a. das Schauspiel „Familie Wawroch“ (Ein österreichisches Drama in vier Akten, mit einem Geleitwort von Ernst von Wolzogen. Paris/Leipzig/München: Albert Langen 1899), das am 21. April 1900 im Volkstheater in Wien uraufgeführt worden war.","481","Ferdinand Wilhelm Bronner"
"ansorge_p_91","Brown","Eddy","1895","1974","Amerik. Geiger und Radiopionier. Studierte ab 1904 in Budapest bei →Jenö Hubay, ab 1909 bei Leopold Auer in St. Petersburg. 1910 Debüt in Berlin mit dem Brahms-Konzert gemeinsam mit den Berliner Philharmonikern und Artur Nikisch. Rückkehr in die USA 1916.","172","Eddy Brown"
"ansorge_p_92","Bruch","Karl Wilhelm","1854","1927","Dt. Dirigent und Komponist von zahlreichen Liedern und Romanzen, ein Ölbild von Hermann Petzet aus dem Jahr 1890 hat sich von ihm erhalten, ebenfalls von seiner Frau Henriette Bruch Schroell aus dem Jahr 1900.","125","Karl Wilhelm Bruch"
"ansorge_p_93","Brunner","Fritz","1890","","Österr. Geiger, Mitglied der Wiener Philharmoniker.","439","Fritz Brunner"
